folder,filename,status,file_timestamp,label_timestamp,label_interval_start,label_total_count,label_CT_count,label_FB_count,label_PBS_count,label_activity,label_act_type,matched_label,reason
Raw_Recordings_Day1_pt11,20211120_225737_192.wav,matched,2021-11-20 22:57:37,2021-11-20 22:56:09,2021-11-20 22:56:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_230237_192.wav,matched,2021-11-20 23:02:37,2021-11-20 23:01:09,2021-11-20 23:01:09,2.0,1.0,0.0,1.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_230738_192.wav,matched,2021-11-20 23:07:38,2021-11-20 23:06:09,2021-11-20 23:06:09,12.0,0.0,7.0,5.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_231238_192.wav,matched,2021-11-20 23:12:38,2021-11-20 23:11:09,2021-11-20 23:11:09,9.0,3.0,4.0,2.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_231739_192.wav,matched,2021-11-20 23:17:39,2021-11-20 23:16:09,2021-11-20 23:16:09,3.0,2.0,0.0,1.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_232240_192.wav,matched,2021-11-20 23:22:40,2021-11-20 23:21:09,2021-11-20 23:21:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_232740_192.wav,matched,2021-11-20 23:27:40,2021-11-20 23:26:09,2021-11-20 23:26:09,1.0,0.0,1.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_233241_192.wav,matched,2021-11-20 23:32:41,2021-11-20 23:31:09,2021-11-20 23:31:09,8.0,6.0,0.0,2.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_233742_192.wav,matched,2021-11-20 23:37:42,2021-11-20 23:36:09,2021-11-20 23:36:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_234242_192.wav,matched,2021-11-20 23:42:42,2021-11-20 23:41:09,2021-11-20 23:41:09,10.0,5.0,0.0,5.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_234743_192.wav,matched,2021-11-20 23:47:43,2021-11-20 23:46:09,2021-11-20 23:46:09,37.0,17.0,0.0,20.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_235243_192.wav,matched,2021-11-20 23:52:43,2021-11-20 23:51:09,2021-11-20 23:51:09,44.0,14.0,0.0,30.0,NIGHT,FREE,,
Raw_Recordings_Day1_pt11,20211120_235744_192.wav,matched,2021-11-20 23:57:44,2021-11-20 23:56:09,2021-11-20 23:56:09,71.0,25.0,1.0,45.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_000245_192.wav,matched,2021-11-21 00:02:45,2021-11-21 00:01:09,2021-11-21 00:01:09,43.0,17.0,0.0,26.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_000746_192.wav,matched,2021-11-21 00:07:46,2021-11-21 00:06:09,2021-11-21 00:06:09,49.0,19.0,0.0,30.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_001246_192.wav,matched,2021-11-21 00:12:46,2021-11-21 00:11:09,2021-11-21 00:11:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_001747_192.wav,matched,2021-11-21 00:17:47,2021-11-21 00:16:09,2021-11-21 00:16:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_002248_192.wav,matched,2021-11-21 00:22:48,2021-11-21 00:21:09,2021-11-21 00:21:09,1.0,1.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_002748_192.wav,matched,2021-11-21 00:27:48,2021-11-21 00:26:09,2021-11-21 00:26:09,3.0,3.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_003249_192.wav,matched,2021-11-21 00:32:49,2021-11-21 00:31:09,2021-11-21 00:31:09,3.0,2.0,0.0,1.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_003749_192.wav,matched,2021-11-21 00:37:49,2021-11-21 00:36:09,2021-11-21 00:36:09,1.0,1.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_004250_192.wav,matched,2021-11-21 00:42:50,2021-11-21 00:41:09,2021-11-21 00:41:09,3.0,1.0,0.0,2.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_004750_192.wav,matched,2021-11-21 00:47:50,2021-11-21 00:46:09,2021-11-21 00:46:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_005251_192.wav,matched,2021-11-21 00:52:51,2021-11-21 00:51:09,2021-11-21 00:51:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
Raw_Recordings_Day2_pt1,20211121_005751_192.wav,matched,2021-11-21 00:57:51,2021-11-21 00:56:09,2021-11-21 00:56:09,0.0,0.0,0.0,0.0,NIGHT,FREE,,
